recipe_id,name,meal_type,minutes,n_steps,n_ingredients,calories,protein,carbs,fat,sugar,is_vegetarian,is_vegan,is_gluten_free,is_dairy_free,is_low_carb,is_healthy
424415,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
146223,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
312329,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
74301,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
76272,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
465171,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
163861,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
186383,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
116395,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
303460,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
408927,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
331329,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
330169,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
289290,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
288683,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
154406,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
102015,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
60244,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
120122,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
238940,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
200498,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
239063,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
248727,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
69436,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
347224,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
294925,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
356953,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
473932,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
305135,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
504329,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
155411,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
461449,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
250063,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
277747,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
19485,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
156363,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
90000,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
344757,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
91317,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
76287,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
227025,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
67417,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
119464,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
483476,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
34331,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
272917,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
61723,Unknown Recipe,other,30,5,8,300,15,40,12,10,False,False,False,False,False,False
