user_id,age,gender,weight,height,fitness_level,primary_goal,secondary_goal,workout_days_per_week,session_duration,available_equipment,has_injuries
user_0,56,male,88.3,1.71,advanced,endurance,muscle_gain,4,101.39999999999999,full_gym,0
user_1,46,female,74.9,1.53,intermediate,general_fitness,strength,4,78.0,none,0
user_2,32,female,68.1,1.66,intermediate,endurance,strength,4,66.60000000000001,"barbell,dumbbells",0
user_3,25,male,53.2,1.7,beginner,general_fitness,endurance,3,35.4,dumbbells,0
user_4,38,male,46.1,1.79,beginner,strength,muscle_gain,3,38.4,none,0
user_5,56,female,58.0,1.68,advanced,endurance,weight_loss,5,95.4,full_gym,0
user_6,36,male,70.3,1.72,intermediate,endurance,strength,3,89.4,none,0
user_7,40,female,69.7,1.51,intermediate,endurance,general_fitness,3,76.2,"barbell,dumbbells",0
user_8,28,male,121.7,1.94,intermediate,weight_loss,strength,4,61.800000000000004,none,0
user_9,28,male,101.8,1.84,beginner,strength,muscle_gain,3,64.80000000000001,"barbell,dumbbells",0
user_10,41,male,120.8,1.67,beginner,strength,weight_loss,2,49.199999999999996,none,0
user_11,53,male,51.7,1.7,intermediate,muscle_gain,endurance,3,69.0,full_gym,0
user_12,57,male,112.5,1.61,intermediate,general_fitness,endurance,3,74.4,none,0
user_13,41,male,94.5,2.0,beginner,strength,weight_loss,3,70.8,full_gym,0
user_14,20,male,117.7,1.81,intermediate,strength,general_fitness,3,81.0,full_gym,0
user_15,39,female,42.5,1.75,beginner,strength,endurance,2,67.8,"barbell,dumbbells",0
user_16,19,female,64.0,1.53,intermediate,endurance,general_fitness,3,79.80000000000001,dumbbells,1
user_17,41,female,43.8,1.77,beginner,general_fitness,muscle_gain,3,71.39999999999999,"barbell,dumbbells",0
user_18,47,female,66.8,1.75,intermediate,general_fitness,strength,3,67.8,full_gym,0
user_19,55,female,75.2,1.67,beginner,weight_loss,endurance,2,82.2,dumbbells,0
user_20,19,male,89.0,1.77,intermediate,endurance,weight_loss,4,90.0,none,0
user_21,38,male,71.9,1.77,beginner,weight_loss,weight_loss,2,67.2,full_gym,0
user_22,50,female,71.0,1.68,beginner,general_fitness,muscle_gain,2,70.19999999999999,dumbbells,0
user_23,29,male,120.9,1.78,beginner,strength,strength,2,46.800000000000004,none,0
user_24,39,female,64.3,1.69,intermediate,endurance,weight_loss,4,75.0,none,0
user_25,42,female,63.7,1.71,intermediate,endurance,muscle_gain,3,85.19999999999999,full_gym,0
user_26,44,male,65.2,1.8,beginner,muscle_gain,muscle_gain,2,43.8,full_gym,0
user_27,59,male,53.9,1.75,intermediate,strength,weight_loss,4,88.8,full_gym,0
user_28,45,male,84.9,1.86,advanced,endurance,strength,5,98.39999999999999,none,0
user_29,33,female,78.0,1.68,intermediate,general_fitness,muscle_gain,3,77.4,none,0
user_30,32,male,108.2,1.8,beginner,endurance,strength,3,76.2,none,1
user_31,20,female,65.4,1.52,intermediate,weight_loss,weight_loss,4,61.800000000000004,"barbell,dumbbells",0
user_32,54,female,50.2,1.61,beginner,strength,weight_loss,2,88.8,"barbell,dumbbells",0
user_33,24,female,58.9,1.51,beginner,general_fitness,weight_loss,2,62.400000000000006,dumbbells,1
user_34,38,male,81.4,1.71,advanced,strength,endurance,5,91.2,none,1
user_35,26,male,127.6,1.73,beginner,muscle_gain,weight_loss,3,79.2,"barbell,dumbbells",0
user_36,56,female,59.3,1.56,intermediate,weight_loss,general_fitness,4,75.6,"barbell,dumbbells",0
user_37,35,male,96.9,1.71,intermediate,weight_loss,weight_loss,3,80.4,dumbbells,0
user_38,21,male,62.6,1.81,intermediate,general_fitness,endurance,4,78.0,"barbell,dumbbells",0
user_39,42,male,45.5,1.6,intermediate,strength,strength,3,78.60000000000001,none,0
user_40,31,female,48.8,1.51,beginner,general_fitness,endurance,2,88.8,"barbell,dumbbells",0
user_41,26,female,44.3,1.6,beginner,general_fitness,strength,3,64.80000000000001,full_gym,0
user_42,43,male,113.2,1.83,intermediate,endurance,endurance,4,87.0,full_gym,0
user_43,19,female,60.5,1.59,beginner,endurance,weight_loss,2,68.39999999999999,"barbell,dumbbells",0
user_44,37,male,124.2,1.76,beginner,endurance,endurance,2,90.0,full_gym,0
user_45,45,male,52.4,1.85,beginner,weight_loss,endurance,3,72.0,dumbbells,0
